Opportunity_ID,NGO_ID,Role_Title,Description,Skills_Required,Qualification (optional but useful),Experience_Required,Location,Mode (Online/Offline/Hybrid),Duration,Time_Commitment,Volunteers_Required,Application_Deadline,Status (Open/Closed),Area
11,11,Legal Documentation Support Volunteer,"Assist the organisation with basic legal research, document review, drafting support, and awareness materials under appropriate supervision. The volunteer role does not replace professional legal advice. The work contributes to the organisation's stated social-impact programmes.","Legal research, documentation, communication, advocacy",Law background or relevant legal experience preferred,Relevant legal or documentation experience preferred,Chinchpokli East,Hybrid,3 months (renewable),3-5 hrs/week,1,02-Oct-26,Open,Legal & Documentation
12,12,Content & Communications Volunteer,"Write and edit website content, newsletters, programme updates, social media captions, volunteer stories, and awareness material while following the organisation's tone and communication guidelines. The work contributes to the organisation's stated social-impact programmes.","Writing, editing, storytelling, proofreading",Strong writing skills; portfolio or writing samples preferred,No formal experience required; writing samples are useful,Wadala,Hybrid,3 months (renewable),3-5 hrs/week,2,03-Oct-26,Open,Social Media & Communications
13,13,Event & Volunteer Coordination Volunteer,"Help plan and run awareness drives, workshops, camps, and community events. Tasks may include volunteer coordination, registrations, logistics, schedules, and on-ground support. The work contributes to the organisation's stated social-impact programmes.","Event planning, coordination, communication, logistics",Strong organisational and communication skills,Event or volunteer coordination experience preferred but not essential,Byculla,Offline,3 months (renewable),On-call / as needed,3,04-Oct-26,Open,Events & Volunteering
14,14,Mental Health Support Volunteer,"Support approved wellbeing and awareness activities such as listening sessions, outreach, resource sharing, and programme support. Clinical assessment or therapy is only carried out by appropriately qualified professionals. The work contributes to the organisation's stated social-impact programmes.","Active listening, communication, mental health awareness, empathy",Psychology or counselling background preferred; qualified clinical work requires appropriate professional credentials,Relevant counselling or mental-health experience preferred,Goregaon East,Offline,3 months (renewable),4-6 hrs/week,2,06-Oct-26,Open,Health & Wellbeing
15,15,Social Media & Outreach Volunteer,"Help the organisation improve its online presence through social media posts, campaign support, community outreach, basic content planning, and promotion of programmes and events. The work contributes to the organisation's stated social-impact programmes.","Social media, communication, content planning, outreach",Practical social media or communications skills preferred; portfolio useful,"Prior social media, outreach, or communications experience is useful but not essential",Bandra East,Hybrid,3 months (renewable),3-5 hrs/week,2,07-Oct-26,Open,Social Media & Communications
16,16,Data & Digital Support Volunteer,"Support the organisation with maintaining spreadsheets, organising programme data, preparing simple reports, and improving day-to-day digital workflows. The role is focused on practical data and technology support for the organisation's programmes. The work contributes to the organisation's stated social-impact programmes.","Data entry, Excel/Google Sheets, basic data analysis, digital tools",Comfort with spreadsheets and digital tools; relevant technical skills preferred,No prior NGO experience required; basic digital skills preferred,Andheri East,Hybrid,3 months (renewable),4-6 hrs/week,2,08-Oct-26,Open,Technology & Digital Support
17,17,Website & Technology Support Volunteer,"Help the organisation maintain its website or simple digital tools, troubleshoot routine technology issues, and support small improvements to its online presence. Work will be based on the organisation's actual technology needs. The work contributes to the organisation's stated social-impact programmes.","Website maintenance, basic programming, troubleshooting, digital tools",Basic web or IT skills preferred; relevant portfolio or project experience is useful,No prior NGO experience required; practical web/IT experience preferred,Bandra West,Hybrid,3 months (renewable),4-6 hrs/week,2,09-Oct-26,Open,Technology & Digital Support
18,18,Graphic Design & Visual Content Volunteer,"Create posters, social media graphics, event creatives, awareness materials, and other visual content for the organisation's programmes and campaigns. Volunteers can work with Canva or similar design tools. The work contributes to the organisation's stated social-impact programmes.","Graphic design, Canva, visual communication, basic photo editing",A strong design portfolio or practical design skills preferred,No formal experience required; portfolio or sample work preferred,Powai,Hybrid,3 months (renewable),3-5 hrs/week,1,11-Oct-26,Open,Graphic Design & Content
19,19,Health Camp Support Volunteer,"Support health-awareness activities, camps, registration desks, beneficiary coordination, and basic non-clinical tasks. Clinical work is only undertaken by appropriately qualified personnel under the organisation's supervision. The work contributes to the organisation's stated social-impact programmes.","Patient support, health awareness, communication, basic documentation",Relevant medical or paramedical background preferred for health-related tasks,Relevant experience preferred; orientation provided for volunteer responsibilities,"Marol, Andheri East",Offline,3 months (renewable),5-8 hrs/week,3,12-Oct-26,Open,Health & Wellbeing
20,20,Project & Operations Support Volunteer,"Help the organisation organise activities, maintain project trackers, conduct basic research, prepare documents, and coordinate follow-ups with volunteers or programme teams. The work contributes to the organisation's stated social-impact programmes.","Project coordination, planning, documentation, research",Organisational and planning skills preferred; no specific degree required,Prior project or event experience is useful but not essential,Malad West,Hybrid,3 months (renewable),4-6 hrs/week,2,13-Oct-26,Open,Administration & Records
21,21,Teaching & Mentoring Volunteer,"Support learning sessions for children or community members through tutoring, reading activities, subject support, and mentoring. Volunteers work with the organisation's existing programme structure and materials. The work contributes to the organisation's stated social-impact programmes.","Teaching, communication, mentoring, activity planning",Strong subject knowledge and communication skills; teaching experience preferred,No formal teaching qualification required for general volunteer support,Andheri East,Offline,3 months (renewable),4-6 hrs/week,4,14-Oct-26,Open,Education & Mentoring
22,22,Photography & Storytelling Volunteer,"Capture photographs and short visual stories from approved activities, events, and programmes. Help organise and edit images for documentation, awareness campaigns, and social media. The work contributes to the organisation's stated social-impact programmes.","Photography, photo editing, visual storytelling",A portfolio or practical photography skills preferred,Prior photography experience preferred but not essential,Khar West,Offline,3 months (renewable),On-call / as needed,1,16-Oct-26,Open,Photography & Storytelling
23,23,Environment & Sustainability Volunteer,"Support environmental awareness drives, clean-up activities, community outreach, surveys, and basic documentation related to sustainability programmes. The work contributes to the organisation's stated social-impact programmes.","Environmental awareness, fieldwork, community engagement, documentation",Interest in environmental issues and willingness to participate in field activities,No specific experience required; fieldwork experience is useful,Andheri East,Offline,3 months (renewable),4-6 hrs/week,3,17-Oct-26,Open,Environment & Sustainability
24,24,Finance & Records Support Volunteer,"Assist with organising receipts and records, maintaining spreadsheets, basic data entry, and administrative finance tasks under the organisation's supervision. Volunteers are not responsible for independent financial decisions. The work contributes to the organisation's stated social-impact programmes.","Bookkeeping, spreadsheets, record keeping, basic financial administration",Comfort with numbers and spreadsheets; accounting knowledge preferred,Prior bookkeeping or administrative experience is useful but not essential,Fort,Hybrid,3 months (renewable),3-5 hrs/week,2,18-Oct-26,Open,Administration & Records
25,25,Community Outreach Volunteer,"Support community visits, awareness activities, beneficiary communication, surveys, and programme follow-ups. The role involves working respectfully with communities and reporting observations to the programme team. The work contributes to the organisation's stated social-impact programmes.","Community engagement, communication, empathy, fieldwork",Good communication and interpersonal skills; social-sector experience preferred,No prior NGO experience required; community work experience is useful,Madanpura,Offline,3 months (renewable),4-6 hrs/week,4,19-Oct-26,Open,Community Outreach
26,26,Legal Documentation Support Volunteer,"Assist the organisation with basic legal research, document review, drafting support, and awareness materials under appropriate supervision. The volunteer role does not replace professional legal advice. The work contributes to the organisation's stated social-impact programmes.","Legal research, documentation, communication, advocacy",Law background or relevant legal experience preferred,Relevant legal or documentation experience preferred,Mahim West,Hybrid,3 months (renewable),3-5 hrs/week,1,21-Oct-26,Open,Legal & Documentation
27,27,Content & Communications Volunteer,"Write and edit website content, newsletters, programme updates, social media captions, volunteer stories, and awareness material while following the organisation's tone and communication guidelines. The work contributes to the organisation's stated social-impact programmes.","Writing, editing, storytelling, proofreading",Strong writing skills; portfolio or writing samples preferred,No formal experience required; writing samples are useful,Girgaon,Hybrid,3 months (renewable),3-5 hrs/week,2,22-Oct-26,Open,Social Media & Communications
28,28,Event & Volunteer Coordination Volunteer,"Help plan and run awareness drives, workshops, camps, and community events. Tasks may include volunteer coordination, registrations, logistics, schedules, and on-ground support. The work contributes to the organisation's stated social-impact programmes.","Event planning, coordination, communication, logistics",Strong organisational and communication skills,Event or volunteer coordination experience preferred but not essential,Colaba,Offline,3 months (renewable),On-call / as needed,3,23-Oct-26,Open,Events & Volunteering
29,29,Mental Health Support Volunteer,"Support approved wellbeing and awareness activities such as listening sessions, outreach, resource sharing, and programme support. Clinical assessment or therapy is only carried out by appropriately qualified professionals. The work contributes to the organisation's stated social-impact programmes.","Active listening, communication, mental health awareness, empathy",Psychology or counselling background preferred; qualified clinical work requires appropriate professional credentials,Relevant counselling or mental-health experience preferred,Khar West,Offline,3 months (renewable),4-6 hrs/week,2,24-Oct-26,Open,Health & Wellbeing
30,30,Social Media & Outreach Volunteer,"Help the organisation improve its online presence through social media posts, campaign support, community outreach, basic content planning, and promotion of programmes and events. The work contributes to the organisation's stated social-impact programmes.","Social media, communication, content planning, outreach",Practical social media or communications skills preferred; portfolio useful,"Prior social media, outreach, or communications experience is useful but not essential",Goregaon East,Hybrid,3 months (renewable),3-5 hrs/week,2,26-Oct-26,Open,Social Media & Communications
31,31,Data & Digital Support Volunteer,"Support the organisation with maintaining spreadsheets, organising programme data, preparing simple reports, and improving day-to-day digital workflows. The role is focused on practical data and technology support for the organisation's programmes. The work contributes to the organisation's stated social-impact programmes.","Data entry, Excel/Google Sheets, basic data analysis, digital tools",Comfort with spreadsheets and digital tools; relevant technical skills preferred,No prior NGO experience required; basic digital skills preferred,Chembur East,Hybrid,3 months (renewable),4-6 hrs/week,2,27-Oct-26,Open,Technology & Digital Support
32,32,Website & Technology Support Volunteer,"Help the organisation maintain its website or simple digital tools, troubleshoot routine technology issues, and support small improvements to its online presence. Work will be based on the organisation's actual technology needs. The work contributes to the organisation's stated social-impact programmes.","Website maintenance, basic programming, troubleshooting, digital tools",Basic web or IT skills preferred; relevant portfolio or project experience is useful,No prior NGO experience required; practical web/IT experience preferred,Khetwadi,Hybrid,3 months (renewable),4-6 hrs/week,2,28-Oct-26,Open,Technology & Digital Support
33,33,Graphic Design & Visual Content Volunteer,"Create posters, social media graphics, event creatives, awareness materials, and other visual content for the organisation's programmes and campaigns. Volunteers can work with Canva or similar design tools. The work contributes to the organisation's stated social-impact programmes.","Graphic design, Canva, visual communication, basic photo editing",A strong design portfolio or practical design skills preferred,No formal experience required; portfolio or sample work preferred,Kurla,Hybrid,3 months (renewable),3-5 hrs/week,1,29-Oct-26,Open,Graphic Design & Content
34,34,Health Camp Support Volunteer,"Support health-awareness activities, camps, registration desks, beneficiary coordination, and basic non-clinical tasks. Clinical work is only undertaken by appropriately qualified personnel under the organisation's supervision. The work contributes to the organisation's stated social-impact programmes.","Patient support, health awareness, communication, basic documentation",Relevant medical or paramedical background preferred for health-related tasks,Relevant experience preferred; orientation provided for volunteer responsibilities,Goregaon,Offline,3 months (renewable),5-8 hrs/week,3,31-Oct-26,Open,Health & Wellbeing
35,35,Project & Operations Support Volunteer,"Help the organisation organise activities, maintain project trackers, conduct basic research, prepare documents, and coordinate follow-ups with volunteers or programme teams. The work contributes to the organisation's stated social-impact programmes.","Project coordination, planning, documentation, research",Organisational and planning skills preferred; no specific degree required,Prior project or event experience is useful but not essential,Khar West,Hybrid,3 months (renewable),4-6 hrs/week,2,01-Nov-26,Open,Administration & Records
36,36,Teaching & Mentoring Volunteer,"Support learning sessions for children or community members through tutoring, reading activities, subject support, and mentoring. Volunteers work with the organisation's existing programme structure and materials. The work contributes to the organisation's stated social-impact programmes.","Teaching, communication, mentoring, activity planning",Strong subject knowledge and communication skills; teaching experience preferred,No formal teaching qualification required for general volunteer support,Dadar West,Offline,3 months (renewable),4-6 hrs/week,4,02-Nov-26,Open,Education & Mentoring
37,37,Photography & Storytelling Volunteer,"Capture photographs and short visual stories from approved activities, events, and programmes. Help organise and edit images for documentation, awareness campaigns, and social media. The work contributes to the organisation's stated social-impact programmes.","Photography, photo editing, visual storytelling",A portfolio or practical photography skills preferred,Prior photography experience preferred but not essential,Andheri West,Offline,3 months (renewable),On-call / as needed,1,03-Nov-26,Open,Photography & Storytelling
38,38,Environment & Sustainability Volunteer,"Support environmental awareness drives, clean-up activities, community outreach, surveys, and basic documentation related to sustainability programmes. The work contributes to the organisation's stated social-impact programmes.","Environmental awareness, fieldwork, community engagement, documentation",Interest in environmental issues and willingness to participate in field activities,No specific experience required; fieldwork experience is useful,Umerkhadi,Offline,3 months (renewable),4-6 hrs/week,3,05-Nov-26,Open,Environment & Sustainability
39,39,Finance & Records Support Volunteer,"Assist with organising receipts and records, maintaining spreadsheets, basic data entry, and administrative finance tasks under the organisation's supervision. Volunteers are not responsible for independent financial decisions. The work contributes to the organisation's stated social-impact programmes.","Bookkeeping, spreadsheets, record keeping, basic financial administration",Comfort with numbers and spreadsheets; accounting knowledge preferred,Prior bookkeeping or administrative experience is useful but not essential,"Chakala, Andheri East",Hybrid,3 months (renewable),3-5 hrs/week,2,06-Nov-26,Open,Administration & Records
40,40,Community Outreach Volunteer,"Support community visits, awareness activities, beneficiary communication, surveys, and programme follow-ups. The role involves working respectfully with communities and reporting observations to the programme team. The work contributes to the organisation's stated social-impact programmes.","Community engagement, communication, empathy, fieldwork",Good communication and interpersonal skills; social-sector experience preferred,No prior NGO experience required; community work experience is useful,"Koldongri, Andheri East",Offline,3 months (renewable),4-6 hrs/week,4,07-Nov-26,Open,Community Outreach
41,41,Legal Documentation Support Volunteer,"Assist the organisation with basic legal research, document review, drafting support, and awareness materials under appropriate supervision. The volunteer role does not replace professional legal advice. The work contributes to the organisation's stated social-impact programmes.","Legal research, documentation, communication, advocacy",Law background or relevant legal experience preferred,Relevant legal or documentation experience preferred,Mankhurd,Hybrid,3 months (renewable),3-5 hrs/week,1,08-Nov-26,Open,Legal & Documentation
42,42,Content & Communications Volunteer,"Write and edit website content, newsletters, programme updates, social media captions, volunteer stories, and awareness material while following the organisation's tone and communication guidelines. The work contributes to the organisation's stated social-impact programmes.","Writing, editing, storytelling, proofreading",Strong writing skills; portfolio or writing samples preferred,No formal experience required; writing samples are useful,Malad East,Hybrid,3 months (renewable),3-5 hrs/week,2,10-Nov-26,Open,Social Media & Communications
43,43,Event & Volunteer Coordination Volunteer,"Help plan and run awareness drives, workshops, camps, and community events. Tasks may include volunteer coordination, registrations, logistics, schedules, and on-ground support. The work contributes to the organisation's stated social-impact programmes.","Event planning, coordination, communication, logistics",Strong organisational and communication skills,Event or volunteer coordination experience preferred but not essential,Jogeshwari East,Offline,3 months (renewable),On-call / as needed,3,11-Nov-26,Open,Events & Volunteering
44,44,Mental Health Support Volunteer,"Support approved wellbeing and awareness activities such as listening sessions, outreach, resource sharing, and programme support. Clinical assessment or therapy is only carried out by appropriately qualified professionals. The work contributes to the organisation's stated social-impact programmes.","Active listening, communication, mental health awareness, empathy",Psychology or counselling background preferred; qualified clinical work requires appropriate professional credentials,Relevant counselling or mental-health experience preferred,"Marol, Andheri East",Offline,3 months (renewable),4-6 hrs/week,2,12-Nov-26,Open,Health & Wellbeing
45,45,Social Media & Outreach Volunteer,"Help the organisation improve its online presence through social media posts, campaign support, community outreach, basic content planning, and promotion of programmes and events. The work contributes to the organisation's stated social-impact programmes.","Social media, communication, content planning, outreach",Practical social media or communications skills preferred; portfolio useful,"Prior social media, outreach, or communications experience is useful but not essential",Colaba,Hybrid,3 months (renewable),3-5 hrs/week,2,13-Nov-26,Open,Social Media & Communications
46,46,Data & Digital Support Volunteer,"Support the organisation with maintaining spreadsheets, organising programme data, preparing simple reports, and improving day-to-day digital workflows. The role is focused on practical data and technology support for the organisation's programmes. The work contributes to the organisation's stated social-impact programmes.","Data entry, Excel/Google Sheets, basic data analysis, digital tools",Comfort with spreadsheets and digital tools; relevant technical skills preferred,No prior NGO experience required; basic digital skills preferred,Mahalaxmi,Hybrid,3 months (renewable),4-6 hrs/week,2,15-Nov-26,Open,Technology & Digital Support
47,47,Website & Technology Support Volunteer,"Help the organisation maintain its website or simple digital tools, troubleshoot routine technology issues, and support small improvements to its online presence. Work will be based on the organisation's actual technology needs. The work contributes to the organisation's stated social-impact programmes.","Website maintenance, basic programming, troubleshooting, digital tools",Basic web or IT skills preferred; relevant portfolio or project experience is useful,No prior NGO experience required; practical web/IT experience preferred,"Khalapur, Raigad",Hybrid,3 months (renewable),4-6 hrs/week,2,16-Nov-26,Open,Technology & Digital Support
48,48,Graphic Design & Visual Content Volunteer,"Create posters, social media graphics, event creatives, awareness materials, and other visual content for the organisation's programmes and campaigns. Volunteers can work with Canva or similar design tools. The work contributes to the organisation's stated social-impact programmes.","Graphic design, Canva, visual communication, basic photo editing",A strong design portfolio or practical design skills preferred,No formal experience required; portfolio or sample work preferred,Byculla East,Hybrid,3 months (renewable),3-5 hrs/week,1,17-Nov-26,Open,Graphic Design & Content
49,49,Health Camp Support Volunteer,"Support health-awareness activities, camps, registration desks, beneficiary coordination, and basic non-clinical tasks. Clinical work is only undertaken by appropriately qualified personnel under the organisation's supervision. The work contributes to the organisation's stated social-impact programmes.","Patient support, health awareness, communication, basic documentation",Relevant medical or paramedical background preferred for health-related tasks,Relevant experience preferred; orientation provided for volunteer responsibilities,Kurla West,Offline,3 months (renewable),5-8 hrs/week,3,18-Nov-26,Open,Health & Wellbeing
50,50,Project & Operations Support Volunteer,"Help the organisation organise activities, maintain project trackers, conduct basic research, prepare documents, and coordinate follow-ups with volunteers or programme teams. The work contributes to the organisation's stated social-impact programmes.","Project coordination, planning, documentation, research",Organisational and planning skills preferred; no specific degree required,Prior project or event experience is useful but not essential,"Vidya Vihar East, Ghatkopar",Hybrid,3 months (renewable),4-6 hrs/week,2,20-Nov-26,Open,Administration & Records
